,zone,station,corr
0,zone_1,station_1,0.8834255626564089
1,zone_2,station_7,0.8953481481234017
2,zone_3,station_9,0.747905238425857
3,zone_4,station_11,0.8901578678729276
4,zone_5,station_10,0.8737992309525794
5,zone_6,station_9,0.7479859609436017
6,zone_7,station_9,0.7653480625386652
7,zone_8,station_10,0.876036767568502
8,zone_9,station_4,0.7924677836751881
9,zone_10,station_11,0.8780894404851813
10,zone_11,station_7,0.5922642640881565
11,zone_12,station_7,0.8854012907700866
12,zone_13,station_1,0.9039429503215645
13,zone_14,station_8,0.7965535884798502
14,zone_15,station_10,0.825658539548006
15,zone_16,station_7,0.8685641842281417
16,zone_17,station_9,0.7481895210035447
17,zone_18,station_7,0.7897704497519189
18,zone_19,station_6,0.1356449258524945
19,zone_20,station_9,0.8757040228300434
